dataset,model,repetition,accuracy,precision,recall
census numeric,decision tree,2,0.747,1.000,0.494
census numeric,decision tree,3,0.741,1.000,0.483
census numeric,decision tree,4,0.743,1.000,0.485
census numeric,decision tree,5,0.733,1.000,0.465
census numeric,decision tree,6,0.734,1.000,0.469
census numeric,decision tree,7,0.740,1.000,0.481
census numeric,decision tree,8,0.738,1.000,0.476
census numeric,decision tree,9,0.746,1.000,0.492
census numeric,random forest,0,0.734,1.000,0.468
census numeric,random forest,1,0.734,1.000,0.468
census numeric,random forest,2,0.730,1.000,0.461
census numeric,random forest,3,0.747,1.000,0.494
census numeric,random forest,4,0.738,1.000,0.476
census numeric,random forest,5,0.736,1.000,0.473
census numeric,random forest,6,0.736,1.000,0.471
census numeric,random forest,7,0.740,1.000,0.480
census numeric,random forest,8,0.750,1.000,0.500
census numeric,random forest,9,0.736,1.000,0.471
census numeric,neural network,0,0.663,1.000,0.325
census numeric,neural network,1,0.660,1.000,0.320
census numeric,neural network,2,0.654,1.000,0.308
census numeric,neural network,3,0.672,1.000,0.344
census numeric,neural network,4,0.651,1.000,0.302
census numeric,neural network,5,0.637,1.000,0.274
census numeric,neural network,6,0.674,1.000,0.350
census numeric,neural network,7,0.662,1.000,0.324
census numeric,neural network,8,0.651,1.000,0.302
census numeric,neural network,9,0.638,1.000,0.275
census categorical,decision tree,0,0.707,1.000,0.415
census categorical,decision tree,1,0.714,1.000,0.427
census categorical,decision tree,2,0.707,1.000,0.415
census categorical,decision tree,3,0.712,1.000,0.424
census categorical,decision tree,4,0.707,1.000,0.415
census categorical,decision tree,5,0.710,1.000,0.420
census categorical,decision tree,6,0.705,1.000,0.411
census categorical,decision tree,7,0.707,1.000,0.414
census categorical,decision tree,8,0.713,1.000,0.427
census categorical,decision tree,9,0.712,1.000,0.425
census categorical,random forest,0,0.707,1.000,0.415
census categorical,random forest,1,0.706,1.000,0.412
census categorical,random forest,2,0.710,1.000,0.420
census categorical,random forest,3,0.713,1.000,0.427
census categorical,random forest,4,0.710,1.000,0.421
census categorical,random forest,5,0.708,1.000,0.417
census categorical,random forest,6,0.713,1.000,0.427
census categorical,random forest,7,0.714,1.000,0.427
census categorical,random forest,8,0.710,1.000,0.421
census categorical,random forest,9,0.711,1.000,0.422
census categorical,neural network,0,0.701,1.000,0.402
census categorical,neural network,1,0.704,1.000,0.409
census categorical,neural network,2,0.704,1.000,0.408
census categorical,neural network,3,0.708,1.000,0.416
census categorical,neural network,4,0.701,1.000,0.401
census categorical,neural network,5,0.705,1.000,0.410
census categorical,neural network,6,0.702,1.000,0.404
census categorical,neural network,7,0.701,1.000,0.403
census categorical,neural network,8,0.705,1.000,0.411
census categorical,neural network,9,0.700,1.000,0.399
