dataset,model,repetition,accuracy,precision,recall
census numeric,random forest,9,0.735,1.000,0.469
census numeric,neural network,0,0.638,1.000,0.277
census numeric,neural network,1,0.647,1.000,0.293
census numeric,neural network,2,0.629,1.000,0.258
census numeric,neural network,3,0.643,1.000,0.286
census numeric,neural network,4,0.640,1.000,0.280
census numeric,neural network,5,0.643,1.000,0.286
census numeric,neural network,6,0.646,1.000,0.292
census numeric,neural network,7,0.645,1.000,0.290
census numeric,neural network,8,0.639,1.000,0.278
census numeric,neural network,9,0.639,1.000,0.278
census categorical,decision tree,0,0.706,1.000,0.412
census categorical,decision tree,1,0.707,1.000,0.414
census categorical,decision tree,2,0.705,1.000,0.411
census categorical,decision tree,3,0.708,1.000,0.415
census categorical,decision tree,4,0.703,1.000,0.406
census categorical,decision tree,5,0.700,1.000,0.401
census categorical,decision tree,6,0.706,1.000,0.413
census categorical,decision tree,7,0.702,1.000,0.404
census categorical,decision tree,8,0.704,1.000,0.407
census categorical,decision tree,9,0.706,1.000,0.412
census categorical,random forest,0,0.705,1.000,0.410
census categorical,random forest,1,0.703,1.000,0.406
census categorical,random forest,2,0.709,1.000,0.419
census categorical,random forest,3,0.700,1.000,0.400
census categorical,random forest,4,0.709,1.000,0.418
census categorical,random forest,5,0.709,1.000,0.419
census categorical,random forest,6,0.708,1.000,0.417
census categorical,random forest,7,0.708,1.000,0.415
census categorical,random forest,8,0.708,1.000,0.417
census categorical,random forest,9,0.706,1.000,0.412
census categorical,neural network,0,0.694,1.000,0.388
census categorical,neural network,1,0.693,1.000,0.385
census categorical,neural network,2,0.693,1.000,0.386
census categorical,neural network,3,0.694,1.000,0.389
census categorical,neural network,4,0.692,1.000,0.384
census categorical,neural network,5,0.692,1.000,0.384
census categorical,neural network,6,0.683,1.000,0.367
census categorical,neural network,7,0.688,1.000,0.377
census categorical,neural network,8,0.687,1.000,0.375
census categorical,neural network,9,0.697,1.000,0.393
