dataset,model,repetition,accuracy,precision,recall
census,neural network,7,-1.000,1.000,0.072
census,neural network,8,-1.000,1.000,0.075
census,neural network,9,-1.000,1.000,0.071
census numeric,decision tree,0,-1.000,1.000,0.130
census numeric,decision tree,1,-1.000,1.000,0.134
census numeric,decision tree,2,-1.000,1.000,0.139
census numeric,decision tree,3,-1.000,1.000,0.134
census numeric,decision tree,4,-1.000,1.000,0.136
census numeric,decision tree,5,-1.000,1.000,0.130
census numeric,decision tree,6,-1.000,1.000,0.131
census numeric,decision tree,7,-1.000,1.000,0.135
census numeric,decision tree,8,-1.000,1.000,0.131
census numeric,decision tree,9,-1.000,1.000,0.131
census numeric,random forest,0,-1.000,1.000,0.113
census numeric,random forest,1,-1.000,1.000,0.110
census numeric,random forest,2,-1.000,1.000,0.113
census numeric,random forest,3,-1.000,1.000,0.107
census numeric,random forest,4,-1.000,1.000,0.105
census numeric,random forest,5,-1.000,1.000,0.108
census numeric,random forest,6,-1.000,1.000,0.107
census numeric,random forest,7,-1.000,1.000,0.104
census numeric,random forest,8,-1.000,1.000,0.106
census numeric,random forest,9,-1.000,1.000,0.102
census numeric,neural network,0,-1.000,1.000,0.118
census numeric,neural network,1,-1.000,1.000,0.144
census numeric,neural network,2,-1.000,1.000,0.117
census numeric,neural network,3,-1.000,1.000,0.094
census numeric,neural network,4,-1.000,1.000,0.119
census numeric,neural network,5,-1.000,1.000,0.116
census numeric,neural network,6,-1.000,1.000,0.094
census numeric,neural network,7,-1.000,1.000,0.135
census numeric,neural network,8,-1.000,1.000,0.117
census numeric,neural network,9,-1.000,1.000,0.113
census categorical,decision tree,0,-1.000,1.000,0.789
census categorical,decision tree,1,-1.000,1.000,0.785
census categorical,decision tree,2,-1.000,1.000,0.780
census categorical,decision tree,3,-1.000,1.000,0.786
census categorical,decision tree,4,-1.000,1.000,0.787
census categorical,decision tree,5,-1.000,1.000,0.783
census categorical,decision tree,6,-1.000,1.000,0.786
census categorical,decision tree,7,-1.000,1.000,0.784
census categorical,decision tree,8,-1.000,1.000,0.789
census categorical,decision tree,9,-1.000,1.000,0.783
census categorical,random forest,0,-1.000,1.000,0.773
census categorical,random forest,1,-1.000,1.000,0.780
census categorical,random forest,2,-1.000,1.000,0.775
census categorical,random forest,3,-1.000,1.000,0.769
census categorical,random forest,4,-1.000,1.000,0.774
census categorical,random forest,5,-1.000,1.000,0.771
census categorical,random forest,6,-1.000,1.000,0.775
census categorical,random forest,7,-1.000,1.000,0.773
census categorical,random forest,8,-1.000,1.000,0.777
census categorical,random forest,9,-1.000,1.000,0.772
census categorical,neural network,0,-1.000,1.000,0.703
census categorical,neural network,1,-1.000,1.000,0.713
census categorical,neural network,2,-1.000,1.000,0.706
census categorical,neural network,3,-1.000,1.000,0.725
census categorical,neural network,4,-1.000,1.000,0.666
census categorical,neural network,5,-1.000,1.000,0.691
census categorical,neural network,6,-1.000,1.000,0.701
census categorical,neural network,7,-1.000,1.000,0.702
census categorical,neural network,8,-1.000,1.000,0.682
census categorical,neural network,9,-1.000,1.000,0.711
