feature_values,predictions
38.0,0.05
39.0,0.05
42.0,0.14
43.0,0.15
45.0,0.11
46.0,0.11
49.0,0.11
51.0,0.07
52.0,0.08
54.0,0.09
56.0,0.06
60.0,0.1
66.0,0.16
67.0,0.17
