feature_values,predictions
38.0,0.05
39.0,0.05
42.0,0.08
43.0,0.08
45.0,0.07
46.0,0.06
49.0,0.07
51.0,0.1
52.0,0.09
54.0,0.07
56.0,0.14
60.0,0.18
66.0,0.24
67.0,0.32
