feature_values,predictions
38.0,0.32
39.0,0.33
42.0,0.3
43.0,0.29
45.0,0.32
46.0,0.36
49.0,0.69
51.0,0.78
52.0,0.74
54.0,0.72
56.0,0.72
60.0,0.71
66.0,0.73
67.0,0.73
