feature_values,predictions
38.0,0.3
39.0,0.3
42.0,0.33
43.0,0.32
45.0,0.34
46.0,0.37
49.0,0.46
51.0,0.48
52.0,0.48
54.0,0.48
56.0,0.59
60.0,0.76
66.0,0.83
67.0,0.87
