feature_values,predictions
38.0,0.04
39.0,0.03
42.0,0.05
43.0,0.04
45.0,0.05
46.0,0.04
49.0,0.1
51.0,0.11
52.0,0.11
54.0,0.13
56.0,0.14
60.0,0.32
66.0,0.23
67.0,0.24
