feature_values,predictions
38.0,0.08
39.0,0.08
42.0,0.12
43.0,0.14
45.0,0.15
46.0,0.16
49.0,0.49
51.0,0.69
52.0,0.64
54.0,0.56
56.0,0.5
60.0,0.33
66.0,0.33
67.0,0.34
