feature_values,predictions
38.0,0.22
39.0,0.23
42.0,0.23
43.0,0.24
45.0,0.25
46.0,0.22
49.0,0.17
51.0,0.24
52.0,0.23
54.0,0.21
56.0,0.3
60.0,0.37
66.0,0.4
67.0,0.42
