feature_values,predictions
38.0,0.03
39.0,0.03
42.0,0.05
43.0,0.07
45.0,0.08
46.0,0.05
49.0,0.03
51.0,0.08
52.0,0.06
54.0,0.07
56.0,0.08
60.0,0.19
66.0,0.23
67.0,0.22
