feature_values,predictions
38.0,0.07
39.0,0.05
42.0,0.04
43.0,0.05
45.0,0.04
46.0,0.03
49.0,0.02
51.0,0.02
52.0,0.02
54.0,0.04
56.0,0.11
60.0,0.15
66.0,0.25
67.0,0.34
