feature_values,predictions
38.0,0.12
39.0,0.09
42.0,0.13
43.0,0.12
45.0,0.12
46.0,0.15
49.0,0.23
51.0,0.32
52.0,0.35
54.0,0.38
56.0,0.42
60.0,0.63
66.0,0.55
67.0,0.52
