feature_values,predictions
38.0,0.01
39.0,0.0
42.0,0.01
43.0,0.01
45.0,0.01
46.0,0.03
49.0,0.11
51.0,0.13
52.0,0.12
54.0,0.17
56.0,0.09
60.0,0.08
66.0,0.13
67.0,0.15
