feature_values,predictions
38.0,0.02
39.0,0.02
42.0,0.04
43.0,0.05
45.0,0.06
46.0,0.05
49.0,0.05
51.0,0.06
52.0,0.05
54.0,0.05
56.0,0.1
60.0,0.17
66.0,0.23
67.0,0.25
