feature_values,predictions
38.0,0.01
39.0,0.02
42.0,0.02
43.0,0.01
45.0,0.04
46.0,0.07
49.0,0.05
51.0,0.04
52.0,0.04
54.0,0.03
56.0,0.04
60.0,0.1
66.0,0.14
67.0,0.17
