feature_values,predictions
38.0,0.41
39.0,0.4
42.0,0.45
43.0,0.44
45.0,0.4
46.0,0.39
49.0,0.41
51.0,0.44
52.0,0.44
54.0,0.42
56.0,0.51
60.0,0.56
66.0,0.73
67.0,0.78
