feature_values,predictions
38.0,0.07
39.0,0.07
42.0,0.11
43.0,0.11
45.0,0.1
46.0,0.09
49.0,0.12
51.0,0.1
52.0,0.07
54.0,0.06
56.0,0.09
60.0,0.05
66.0,0.17
67.0,0.23
