feature_values,predictions
38.0,0.1
39.0,0.1
42.0,0.09
43.0,0.09
45.0,0.06
46.0,0.07
49.0,0.19
51.0,0.21
52.0,0.21
54.0,0.21
56.0,0.24
60.0,0.26
66.0,0.25
67.0,0.25
