feature_values,predictions
38.0,0.03
39.0,0.03
42.0,0.07
43.0,0.07
45.0,0.05
46.0,0.04
49.0,0.04
51.0,0.09
52.0,0.07
54.0,0.04
56.0,0.14
60.0,0.2
66.0,0.27
67.0,0.31
