feature_values,predictions
38.0,0.02
39.0,0.01
42.0,0.01
43.0,0.02
45.0,0.02
46.0,0.02
49.0,0.13
51.0,0.12
52.0,0.13
54.0,0.15
56.0,0.18
60.0,0.23
66.0,0.33
67.0,0.39
