feature_values,predictions
38.0,0.04
39.0,0.04
42.0,0.07
43.0,0.08
45.0,0.08
46.0,0.07
49.0,0.17
51.0,0.22
52.0,0.2
54.0,0.24
56.0,0.27
60.0,0.36
66.0,0.38
67.0,0.36
